51300011705,gaf,109,173
51300063284,gdb,199,217
51300070518,dbb,70,10
51300076881,fef,243,274
51300095973,ccc,121,14
51300152625,cgc,17,247
51300201452,cfg,251,108
51300260090,edd,58,172
51300260391,dce,31,118
51300297034,cfd,85,192
51300333233,cde,244,21
51300355883,ddc,163,195
51300357640,adg,181,196
51300398078,bac,73,269
51300413251,bfg,171,291
51300415333,dff,274,292
51300446232,fee,118,213
51300460053,cab,125,251
51300499351,ccd,112,257
51300510395,cae,149,241
51300532960,gaf,8,202
51300534725,ccg,215,137
51300546427,dbg,92,11
51300568568,aed,93,34
51300583643,aaa,263,138
51300583838,dcf,248,90
51300590204,fdf,66,88
51300595369,abb,194,38
51300679575,aaa,36,131
51300695229,bce,18,249
51300701080,abe,169,233
51300820115,gee,231,49
51300833927,fcc,97,37
51300870024,cge,49,12
51300887332,dgb,280,230
51300891731,efc,188,193
51300901185,eaf,47,105
51300938542,bda,45,258
51300962171,cda,238,172
51300987254,eca,177,94
51300987581,aea,198,148
51301020717,bfc,253,221
51301036714,cff,117,234
51301040731,fbf,147,71
51301043866,dde,286,178
51301052380,bfc,165,243
51301066994,gbd,195,163
51301067772,cfe,241,81
51301145358,gca,288,15
51301147646,fba,56,286
51301167169,aag,140,131
51301170102,gae,220,170
51301171536,aad,163,120
51301187631,cdc,178,155
51301319586,bfg,31,305
51301331123,bdg,183,263
51301378534,dcg,290,108
51301453092,dfc,6,126
51301614094,ddb,66,89
51301631340,aad,48,121
51301713178,cgg,131,291
51301722338,gga,3,263
51301725735,edf,4,128
51301754199,cbc,73,194
51301759404,cbe,114,245
51301763690,cfe,47,80
51301812006,acf,219,158
51301861374,ggg,90,65
51301883992,deb,296,115
51301886966,dfa,146,271
51301894125,abf,236,49
51301928373,dgg,48,198
51301930050,bee,92,158
51301933233,acc,187,290
51301946445,aad,96,131
51301987798,cbe,221,242
51301999046,ead,285,296
51302035857,fag,33,80
51302087728,edc,298,83
51302093217,dfd,279,105
51302162005,dea,14,96
51302171042,dea,230,82
51302180075,deg,191,60
51302194290,add,14,147
